template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
#salamjojo - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
:valo - T 30, IT 14, TH 0, RC 12, SEX 35
tiap aku on pasti sepo - T 9, IT 1, TH 0, RC 3, SEX 9
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
 itu mirip elu sih - T 1, IT 10, TH 2, RC 0, SEX 0
gamda akhmlamk - T 30, IT 14, TH 0, RC 12, SEX 35
anjim - T 30, IT 14, TH 0, RC 12, SEX 35
woi tim - T 13, IT 33, TH 68, RC 54, SEX 0
malam - T 9, IT 6, TH 0, RC 5, SEX 3
malam - T 9, IT 6, TH 0, RC 5, SEX 3
p ingfo gamer - T 44, IT 12, TH 0, RC 16, SEX 32
anjay ga pulsa - T 3, IT 60, TH 0, RC 8, SEX 3
@bam - T 30, IT 14, TH 0, RC 12, SEX 35
mana orangnya - T 1, IT 2, TH 0, RC 2, SEX 1
ngasih feedback lawak bener - T 0, IT 0, TH 0, RC 0, SEX 0
awkakakaa - T 30, IT 14, TH 0, RC 12, SEX 35
sabar bang arans - T 0, IT 0, TH 0, RC 1, SEX 4
kebiasaan di sz emang gitu - T 0, IT 0, TH 0, RC 2, SEX 0
tumben keliatan - T 11, IT 8, TH 0, RC 10, SEX 12
mau jadi nawir khm - T 7, IT 1, TH 0, RC 10, SEX 13
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ngasih makan keluarga modal daget - T 0, IT 1, TH 0, RC 5, SEX 0
 bau kembang pasir - T 27, IT 4, TH 4, RC 15, SEX 5
owi - T 30, IT 14, TH 0, RC 12, SEX 35
owo - T 30, IT 14, TH 0, RC 12, SEX 35
jancok - T 100, IT 99, TH 97, RC 2, SEX 1
lagi masak mie - T 10, IT 12, TH 0, RC 4, SEX 5
ditambahin telurternyata telurnya dah busug - T 3, IT 2, TH 0, RC 5, SEX 2
mana abis kahi mie aku - T 0, IT 0, TH 0, RC 1, SEX 0
  asal aku on pasti sepi - T 2, IT 0, TH 1, RC 2, SEX 0
pulang kehujananga ada makanan di rumah - T 0, IT 0, TH 0, RC 0, SEX 0
yep - T 30, IT 14, TH 0, RC 12, SEX 35
bro - T 93, IT 72, TH 1, RC 49, SEX 58
ada yang nonton vreking bed gac - T 0, IT 0, TH 0, RC 0, SEX 0
hadeh gada orang - T 5, IT 0, TH 0, RC 2, SEX 0
lawak emang - T 0, IT 0, TH 0, RC 1, SEX 1
si botak psikopat? - T 1, IT 1, TH 0, RC 3, SEX 1
tuco? - T 30, IT 14, TH 0, RC 12, SEX 35
malam - T 9, IT 6, TH 0, RC 5, SEX 3
kato jalang - T 15, IT 7, TH 0, RC 7, SEX 10
yes brother malam,  - T 27, IT 4, TH 4, RC 15, SEX 5
mlm - T 30, IT 14, TH 0, RC 12, SEX 35
malam bang - T 0, IT 0, TH 0, RC 0, SEX 0
sepi karena pada di  - T 1, IT 0, TH 3, RC 2, SEX 0
siapa tuh - T 15, IT 0, TH 0, RC 2, SEX 9
k!saran ya masa gk ada apa apa tiba tiba thengs - T 0, IT 0, TH 0, RC 0, SEX 0
, saran kamu sudah terkirim! - T 11, IT 13, TH 26, RC 14, SEX 0
mau duit gratis dari dana ? cek yuk  - T 4, IT 0, TH 0, RC 0, SEX 6
imnfo whatsampp - T 30, IT 14, TH 0, RC 12, SEX 35
salam - T 30, IT 14, TH 0, RC 12, SEX 35
apa tuh - T 1, IT 0, TH 0, RC 0, SEX 4
ingfokan - T 30, IT 14, TH 0, RC 12, SEX 35
skem kh - T 3, IT 3, TH 0, RC 4, SEX 7
daget is no more - T 0, IT 0, TH 0, RC 0, SEX 1
sekarang era dagrat - T 30, IT 14, TH 0, RC 12, SEX 35
tutor kaya lewat daget - T 34, IT 63, TH 0, RC 21, SEX 46
malam gays - T 9, IT 6, TH 0, RC 5, SEX 3
malam - T 9, IT 6, TH 0, RC 5, SEX 3
kaya lewat daget - T 34, IT 63, TH 0, RC 21, SEX 46
tolong infokan brooo - T 30, IT 14, TH 0, RC 12, SEX 35
cek aja gan - T 1, IT 33, TH 0, RC 10, SEX 0
papale papale - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
telat daget 7x - T 2, IT 2, TH 0, RC 6, SEX 8
malam - T 9, IT 6, TH 0, RC 5, SEX 3
buka baju langsung ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok croooooooooooooooooot - T 3, IT 3, TH 0, RC 3, SEX 8
malam - T 9, IT 6, TH 0, RC 5, SEX 3
malam - T 9, IT 6, TH 0, RC 5, SEX 3
rerolll - T 30, IT 14, TH 0, RC 12, SEX 35
buka baju langsung ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok ceplak ceplok croooooooooooooooooot - T 3, IT 3, TH 0, RC 3, SEX 8
parah - T 50, IT 6, TH 0, RC 13, SEX 11
bypasser - T 30, IT 14, TH 0, RC 12, SEX 35
abuser - T 30, IT 14, TH 0, RC 12, SEX 35
@disini - T 30, IT 14, TH 0, RC 12, SEX 35
ga dri ane 10 menit ga dm reroll - T 0, IT 10, TH 0, RC 2, SEX 0
_apply-donatur 548730795020255250 120 - T 30, IT 14, TH 0, RC 12, SEX 35
apply donatur sedang diproses. - T 30, IT 14, TH 0, RC 12, SEX 35
waiting ga - T 1, IT 36, TH 0, RC 7, SEX 1
dray - T 30, IT 14, TH 0, RC 12, SEX 35
_apply-donatur 421670026240589824 30 - T 30, IT 14, TH 0, RC 12, SEX 35
apply donatur sedang diproses. - T 30, IT 14, TH 0, RC 12, SEX 35
euy - T 30, IT 14, TH 0, RC 12, SEX 35
chimps - T 30, IT 14, TH 0, RC 12, SEX 35
 bang 👉 👈 - T 0, IT 0, TH 0, RC 2, SEX 0
survival - T 30, IT 14, TH 0, RC 12, SEX 35
iya - T 17, IT 4, TH 0, RC 6, SEX 2
seks bot - T 7, IT 5, TH 0, RC 11, SEX 12
maksud ane - T 62, IT 26, TH 0, RC 3, SEX 95
woi - T 13, IT 33, TH 68, RC 54, SEX 0
besok - T 30, IT 14, TH 0, RC 12, SEX 35
ane kasih tau apa aja - T 0, IT 0, TH 0, RC 0, SEX 0
oke - T 30, IT 14, TH 0, RC 12, SEX 35
hotelnya keren - T 5, IT 3, TH 0, RC 7, SEX 19
buset dicatat - T 30, IT 14, TH 0, RC 12, SEX 35
hayaruuu - T 30, IT 14, TH 0, RC 12, SEX 35
unboxing waifu - T 30, IT 14, TH 0, RC 12, SEX 35
aku ngeliat lonet: - T 5, IT 2, TH 0, RC 2, SEX 5
eleina lonte - T 30, IT 14, TH 0, RC 12, SEX 35
tru - T 20, IT 9, TH 0, RC 15, SEX 33
remrol - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
cek - T 30, IT 14, TH 0, RC 12, SEX 35
kece gentod - T 30, IT 14, TH 0, RC 12, SEX 35
feminis - T 30, IT 14, TH 0, RC 12, SEX 35
ini mulainya jam brp - T 21, IT 14, TH 0, RC 2, SEX 2
kok aku cari gaada - T 0, IT 0, TH 0, RC 0, SEX 0
tidak true soalnya - T 0, IT 0, TH 0, RC 0, SEX 0
squad mungkin - T 5, IT 1, TH 0, RC 5, SEX 11
squad sama jurrasic world evo - T 4, IT 3, TH 0, RC 2, SEX 2
ga itu leaknya g bener - T 0, IT 4, TH 0, RC 2, SEX 0
gamenya - T 30, IT 14, TH 0, RC 12, SEX 35
amin - T 30, IT 14, TH 0, RC 12, SEX 35
yang bener yang mana cuy - T 0, IT 0, TH 0, RC 0, SEX 0
kontol - T 96, IT 9, TH 1, RC 1, SEX 100
ngentot - T 90, IT 67, TH 0, RC 10, SEX 100
gatau cuytanya simamah - T 30, IT 14, TH 0, RC 12, SEX 35
bener - T 1, IT 1, TH 0, RC 2, SEX 1
  jadi ga semua dilist itu ya? - T 1, IT 9, TH 0, RC 4, SEX 0
atau acak? - T 15, IT 2, TH 0, RC 3, SEX 12
ga bener tuh - T 0, IT 2, TH 0, RC 1, SEX 0
logika saja horizon zero baru keluar tahun ini di pc - T 1, IT 1, TH 0, RC 0, SEX 0
nunggu cyber pank aja - T 1, IT 33, TH 0, RC 10, SEX 0
creck sajah - T 30, IT 14, TH 0, RC 12, SEX 35
tahun depan dibuat konten - T 1, IT 8, TH 0, RC 4, SEX 4
sudah bisa dicrk kok - T 4, IT 0, TH 0, RC 1, SEX 0
ga lawak - T 0, IT 0, TH 0, RC 1, SEX 0
kalo miskin seperti saya - T 3, IT 0, TH 0, RC 4, SEX 53
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
konten nge review bokep udah ada belum? - T 0, IT 0, TH 0, RC 0, SEX 11
gasuka bajakan brok - T 30, IT 14, TH 0, RC 12, SEX 35
ada - T 1, IT 0, TH 0, RC 2, SEX 2
mau liat? - T 1, IT 2, TH 0, RC 1, SEX 3
njirs - T 30, IT 14, TH 0, RC 12, SEX 35
kuching sama kambing - T 4, IT 3, TH 0, RC 2, SEX 2
kalau belum ada ane mau stream farming pixiv di yt - T 0, IT 0, TH 0, RC 0, SEX 0
njir - T 0, IT 0, TH 0, RC 1, SEX 1
  diban pasti - T 71, IT 5, TH 3, RC 21, SEX 13
pale - T 0, IT 1, TH 0, RC 2, SEX 1
aku upload bokep kena takedown 4 jam - T 0, IT 0, TH 0, RC 0, SEX 0
open donasi dulujadi walau ke banudah dapet profit - T 3, IT 0, TH 0, RC 1, SEX 0
mana emot ext nih - T 5, IT 0, TH 1, RC 0, SEX 0
anjing banget - T 9, IT 0, TH 0, RC 3, SEX 7
info - T 26, IT 5, TH 0, RC 4, SEX 6
tahun depan mau buka youtube - T 0, IT 1, TH 0, RC 1, SEX 0
ingfo apa - T 2, IT 2, TH 0, RC 1, SEX 20
buka saja - T 78, IT 42, TH 0, RC 6, SEX 66
kalo udah monet gajinya brp ya - T 3, IT 0, TH 12, RC 1, SEX 18
sekarang jg bisa kenapa harus besok - T 1, IT 0, TH 0, RC 0, SEX 2
tergantung views dan subs - T 55, IT 13, TH 0, RC 5, SEX 33
dul bedul - T 30, IT 14, TH 0, RC 12, SEX 35
sub 28k - T 20, IT 18, TH 0, RC 25, SEX 23
bentar - T 30, IT 14, TH 0, RC 12, SEX 35
videonya aku hapusin - T 5, IT 2, TH 0, RC 2, SEX 5
kamu sp kok tau nama aku? - T 2, IT 0, TH 0, RC 0, SEX 0
ada viewsnya g nanti - T 2, IT 0, TH 0, RC 1, SEX 9
njir - T 0, IT 0, TH 0, RC 1, SEX 1
harus cari views lagi - T 20, IT 7, TH 0, RC 2, SEX 21
aku promote dulu brok - T 1, IT 1, TH 0, RC 1, SEX 2
gaji kamu berdsarkan views dan jam tayang - T 28, IT 17, TH 32, RC 9, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
views sama bon bon aja - T 0, IT 11, TH 0, RC 3, SEX 0
hehe - T 78, IT 34, TH 0, RC 6, SEX 72
1000 views dan 50 jam tayang baru bisa - T 42, IT 1, TH 0, RC 2, SEX 7
"giveaway 50k diamond ff buat 2 pemenang" - T 30, IT 20, TH 0, RC 1, SEX 0
baru bisa di monetize - T 17, IT 0, TH 0, RC 1, SEX 6
anjir - T 12, IT 24, TH 0, RC 9, SEX 21
sumpah coek di pos gada yg aku kenal kalo gk ada notenya - T 0, IT 0, TH 0, RC 0, SEX 0
ya kamu kan bedul - T 11, IT 3, TH 97, RC 2, SEX 0
kenal aku ga?pasti nggak - T 1, IT 0, TH 0, RC 1, SEX 1
bedul = abdoel - T 30, IT 14, TH 0, RC 12, SEX 35
ok sip - T 8, IT 6, TH 0, RC 6, SEX 5
bdul - T 30, IT 14, TH 0, RC 12, SEX 35
alhamdulilah ga dikenal orang viral - T 6, IT 0, TH 2, RC 0, SEX 0
p iyh - T 30, IT 14, TH 0, RC 12, SEX 35
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
ada anak ptr - T 1, IT 0, TH 0, RC 1, SEX 4
kamu bukan president viral - T 0, IT 0, TH 4, RC 1, SEX 0
siapa - T 42, IT 2, TH 0, RC 3, SEX 40
kamu - T 33, IT 40, TH 32, RC 33, SEX 0
sorry jokes dpang tadi - T 45, IT 12, TH 0, RC 4, SEX 15
yang  viral ardra sajah - T 3, IT 0, TH 20, RC 0, SEX 0
 kena covid - T 3, IT 0, TH 18, RC 5, SEX 0
lizu mah kenal ge - T 18, IT 4, TH 0, RC 1, SEX 22
aku - T 5, IT 2, TH 0, RC 2, SEX 5
2 menit lama bener asw - T 1, IT 1, TH 0, RC 1, SEX 0
sabar lah - T 11, IT 4, TH 0, RC 7, SEX 14
 positif - T 10, IT 1, TH 1, RC 6, SEX 2
dari jam 20:58 loh - T 5, IT 1, TH 0, RC 0, SEX 21
kalo bener dying light - T 1, IT 0, TH 0, RC 3, SEX 3
waduh dikenal viral t_t - T 6, IT 0, TH 3, RC 0, SEX 2
ava tuh - T 10, IT 3, TH 0, RC 7, SEX 7
70 persen bener - T 1, IT 1, TH 0, RC 2, SEX 1
njir - T 0, IT 0, TH 0, RC 1, SEX 1
kalo g ya - T 0, IT 0, TH 2, RC 0, SEX 4
 kok post aku gapernah kamu react? - T 1, IT 2, TH 6, RC 0, SEX 0
lah baru tau ane ada event di epicgames - T 0, IT 0, TH 0, RC 0, SEX 0
cekidot lah - T 11, IT 4, TH 0, RC 7, SEX 14
aha poor always poor - T 30, IT 14, TH 0, RC 12, SEX 35
kece nih gacha free game - T 70, IT 2, TH 1, RC 4, SEX 6
 negatif??? - T 27, IT 4, TH 4, RC 15, SEX 5
bener bang fik - T 0, IT 0, TH 0, RC 0, SEX 0
tes gacha - T 30, IT 14, TH 0, RC 12, SEX 35
duk - T 30, IT 14, TH 0, RC 12, SEX 35
dul - T 30, IT 14, TH 0, RC 12, SEX 35
ayok dites - T 17, IT 5, TH 0, RC 5, SEX 79
bikin konten kuy - T 1, IT 1, TH 0, RC 2, SEX 5
gas - T 30, IT 14, TH 0, RC 12, SEX 35
yg di fb ?  - T 3, IT 0, TH 0, RC 1, SEX 0
yang gak hoki dapet zuma - T 0, IT 3, TH 0, RC 1, SEX 1
"unboxing cewe 13 tahun" - T 30, IT 14, TH 0, RC 12, SEX 35
pedo - T 4, IT 16, TH 0, RC 1, SEX 100
astaga - T 36, IT 15, TH 0, RC 6, SEX 27
anjing pedo amat - T 2, IT 70, TH 0, RC 0, SEX 99
musaaa - T 30, IT 14, TH 0, RC 12, SEX 35
cireng cringe vtuber - T 30, IT 14, TH 0, RC 12, SEX 35
tolong - T 30, IT 14, TH 0, RC 12, SEX 35
selamat anda kena frenk - T 1, IT 0, TH 1, RC 2, SEX 0
  aku laporin bin ajalah - T 5, IT 1, TH 2, RC 3, SEX 1
cringe - T 30, IT 14, TH 0, RC 12, SEX 35
puting - T 30, IT 14, TH 0, RC 12, SEX 35
nih - T 86, IT 5, TH 2, RC 5, SEX 11
cireng yahud tambah i - T 39, IT 50, TH 0, RC 44, SEX 30
gaskan - T 30, IT 14, TH 0, RC 12, SEX 35
pantes tidak munculh - T 10, IT 2, TH 0, RC 7, SEX 4
kamu pegang kamera ajh - T 42, IT 35, TH 27, RC 37, SEX 0
jah - T 15, IT 21, TH 0, RC 8, SEX 8
aku yang unboxing - T 0, IT 1, TH 0, RC 1, SEX 2
postblok momen - T 30, IT 14, TH 0, RC 12, SEX 35
parah - T 50, IT 6, TH 0, RC 13, SEX 11
t_t - T 30, IT 14, TH 0, RC 12, SEX 35
itu free games atau diskon sih - T 0, IT 3, TH 0, RC 0, SEX 0
free - T 13, IT 8, TH 0, RC 8, SEX 21
ada yg report gambar elaina di spank - T 0, IT 0, TH 0, RC 0, SEX 1
gas - T 30, IT 14, TH 0, RC 12, SEX 35
isreal - T 30, IT 14, TH 0, RC 12, SEX 35
masih aku cari orang nua - T 36, IT 0, TH 0, RC 2, SEX 3
anjingz padahal gweh coli pake foto eleina - T 97, IT 3, TH 1, RC 1, SEX 100
beneran coek kamu sp dulu - T 90, IT 27, TH 44, RC 10, SEX 3
mash mencari bokep 3d eleina - T 30, IT 2, TH 0, RC 2, SEX 88
inget yang malem malem vc ga? - T 0, IT 0, TH 0, RC 1, SEX 0
cek di #sirkel_bokepterus mention aku - T 2, IT 0, TH 0, RC 0, SEX 1
info nama - T 6, IT 0, TH 0, RC 1, SEX 6
no ingpo - T 0, IT 0, TH 0, RC 0, SEX 1
tidak open ke gweh - T 1, IT 0, TH 0, RC 1, SEX 0
world z sama gta v aku di epicgames belum aku maen maenin   males download ane - T 0, IT 0, TH 0, RC 0, SEX 0
aku tiap malem vc - T 0, IT 0, TH 0, RC 1, SEX 0
ixora - T 30, IT 14, TH 0, RC 12, SEX 35
ntar ane spam kalau on pc - T 6, IT 27, TH 0, RC 15, SEX 0
belum bayar 10k - T 6, IT 5, TH 0, RC 1, SEX 6
huuuu - T 30, IT 14, TH 0, RC 12, SEX 35
dpet dari kbsl - T 10, IT 2, TH 0, RC 1, SEX 43
 tuh kirim ke dia bisa - T 1, IT 0, TH 2, RC 0, SEX 0
no adek kamu error - T 0, IT 0, TH 1, RC 0, SEX 0
wkwkwkwk - T 30, IT 14, TH 0, RC 12, SEX 35
 kbsl apa bang - T 0, IT 0, TH 0, RC 0, SEX 0
grup kah - T 2, IT 1, TH 0, RC 1, SEX 7
keluh basah saran le - T 30, IT 14, TH 0, RC 12, SEX 35
yaudah belum rejeki saya  - T 0, IT 0, TH 1, RC 0, SEX 0
sp tuh - T 87, IT 2, TH 0, RC 4, SEX 95
ehh okeoke - T 30, IT 14, TH 0, RC 12, SEX 35
ane udh 2x ttp error - T 1, IT 3, TH 0, RC 9, SEX 4
 info cewe tadi bang - T 0, IT 0, TH 0, RC 0, SEX 0
jah, elaina mah pasaran - T 75, IT 85, TH 0, RC 3, SEX 77
gatau sy - T 1, IT 2, TH 0, RC 2, SEX 1
true - T 30, IT 14, TH 0, RC 12, SEX 35
hangdehh - T 30, IT 14, TH 0, RC 12, SEX 35
udah udah sans - T 32, IT 12, TH 0, RC 14, SEX 54
waifu dari eroge dong - T 9, IT 1, TH 0, RC 0, SEX 39
gak pasaran - T 3, IT 12, TH 0, RC 2, SEX 5
dikit yg tau - T 0, IT 0, TH 0, RC 0, SEX 3
ada yg req bangjadi ane upload :(ternyata ada heter juga :( - T 0, IT 0, TH 0, RC 0, SEX 1
 udh claimed bang - T 0, IT 0, TH 0, RC 2, SEX 0
padahal eleina bener lonte rolenya - T 1, IT 1, TH 0, RC 2, SEX 1
tpi dia kena mute - T 0, IT 0, TH 3, RC 0, SEX 0
wkwkwko - T 30, IT 14, TH 0, RC 12, SEX 35
tentu bukan aku hatersnya - T 0, IT 0, TH 0, RC 4, SEX 0
elaina jual aja - T 1, IT 72, TH 0, RC 11, SEX 0
jadi perek - T 94, IT 61, TH 0, RC 87, SEX 17
waifu aku sih bukan tipe vanyak org jd gk pasaran - T 0, IT 0, TH 0, RC 0, SEX 0
dul - T 30, IT 14, TH 0, RC 12, SEX 35
keren - T 5, IT 3, TH 0, RC 7, SEX 19
ada youtube ga - T 0, IT 0, TH 0, RC 1, SEX 0
colab - T 30, IT 14, TH 0, RC 12, SEX 35
ntar nama animenya berubah - T 3, IT 1, TH 0, RC 2, SEX 32
jah amat - T 6, IT 71, TH 1, RC 1, SEX 1
fl isinya pengkoleksi lewd semua  👍 - T 18, IT 21, TH 0, RC 6, SEX 3
elaina the wandering bitch - T 23, IT 60, TH 0, RC 14, SEX 55
fl gweh random - T 30, IT 14, TH 0, RC 12, SEX 35
 kena mute knpa? - T 3, IT 0, TH 18, RC 5, SEX 0
ajarin punya waifu dongbiar aku marah kalau waifuku di lewd orang lain - T 47, IT 0, TH 0, RC 1, SEX 0
ada pedo sejati, ada milf sejati ada necro juga - T 0, IT 0, TH 0, RC 0, SEX 94
spam - T 9, IT 10, TH 0, RC 6, SEX 0
jah - T 15, IT 21, TH 0, RC 8, SEX 8
sange sama e girl - T 4, IT 3, TH 0, RC 2, SEX 2
kenapa ada logo playboy - T 0, IT 0, TH 0, RC 1, SEX 0
simp sumpah - T 4, IT 2, TH 0, RC 4, SEX 1
ga crot - T 1, IT 36, TH 0, RC 7, SEX 1
g simp kalo dicrot - T 5, IT 3, TH 0, RC 8, SEX 28
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
 lagi bang yg banyk via dm pls - T 0, IT 0, TH 0, RC 0, SEX 0
incel berarti - T 30, IT 14, TH 0, RC 12, SEX 35
cara orang bahagia beda beda brok - T 90, IT 0, TH 0, RC 4, SEX 14
hadeh pedo - T 0, IT 1, TH 0, RC 0, SEX 94
 info foto lubang kencinya  - T 57, IT 1, TH 2, RC 2, SEX 12
gweh g pedo - T 0, IT 8, TH 0, RC 1, SEX 99
k.afk - T 30, IT 14, TH 0, RC 12, SEX 35
zall#0617 telah afk! alasan: afk - T 51, IT 22, TH 0, RC 4, SEX 52
makanya gweh pake pp bondrewd - T 70, IT 58, TH 0, RC 24, SEX 55
pembantai loli - T 12, IT 2, TH 0, RC 4, SEX 97
ventar, ente sp sih aku penasaran - T 6, IT 1, TH 0, RC 0, SEX 48
hadehhh - T 30, IT 14, TH 0, RC 12, SEX 35
imagine ketawa sendiri liat loli nyanyi - T 0, IT 0, TH 0, RC 0, SEX 81
pedo - T 4, IT 16, TH 0, RC 1, SEX 100
turn back loly candy! - T 30, IT 14, TH 0, RC 12, SEX 35
bondred anjing emang - T 4, IT 0, TH 0, RC 19, SEX 11
anjing masa lali - T 25, IT 14, TH 0, RC 19, SEX 28
lalu - T 4, IT 3, TH 0, RC 5, SEX 1
loli di jadi in monster energy - T 7, IT 0, TH 0, RC 5, SEX 92
dan nyatanya kamu masih pedo - T 21, IT 55, TH 3, RC 1, SEX 88
ingfo - T 30, IT 14, TH 0, RC 12, SEX 35
ga cuy - T 1, IT 36, TH 0, RC 7, SEX 1
gausah mengelak - T 96, IT 2, TH 0, RC 2, SEX 70
me milf enjoyers - T 30, IT 14, TH 0, RC 12, SEX 35
fyi sebelum di jadi in monster energyloli nya di ew - T 0, IT 0, TH 0, RC 0, SEX 0
me baca manga - T 9, IT 31, TH 0, RC 10, SEX 12
yang vc malem malem ituloh ngab pas ada china rere sama jim - T 0, IT 0, TH 0, RC 1, SEX 0
itu nemu njir - T 0, IT 0, TH 0, RC 2, SEX 0
lihat wajahnya, begitu bahagia dan dungu  - T 97, IT 14, TH 9, RC 3, SEX 19
kapan itu? - T 0, IT 33, TH 0, RC 18, SEX 1
yang malem malem - T 0, IT 0, TH 0, RC 1, SEX 0
ga ada manga, adanya ln - T 0, IT 0, TH 0, RC 1, SEX 0
sy dipost ronda - T 1, IT 2, TH 0, RC 2, SEX 1
baca manga nya - T 1, IT 18, TH 0, RC 2, SEX 3
ada - T 1, IT 0, TH 0, RC 2, SEX 2
diserver ini kh? - T 45, IT 24, TH 0, RC 2, SEX 6
benar - T 30, IT 14, TH 0, RC 12, SEX 35
kamu baca dujin - T 12, IT 58, TH 26, RC 33, SEX 0
seratus - T 30, IT 14, TH 0, RC 12, SEX 35
yg open cam? - T 8, IT 2, TH 0, RC 3, SEX 15
njir manga lawas - T 0, IT 0, TH 0, RC 1, SEX 1
mana ada anjir - T 0, IT 0, TH 0, RC 0, SEX 0
benarr - T 30, IT 14, TH 0, RC 12, SEX 35
foto profil orang aku colong wakakak - T 65, IT 0, TH 0, RC 2, SEX 21
lupa sih aku - T 0, IT 1, TH 0, RC 0, SEX 0
history doujin ane ntr - T 24, IT 42, TH 0, RC 9, SEX 27
yang aku tanya - T 0, IT 0, TH 0, RC 0, SEX 1
kamu yg mana waktu itu? - T 0, IT 3, TH 2, RC 3, SEX 0
"asal mana bang?" - T 1, IT 2, TH 0, RC 2, SEX 1
untung w baca lewat bot telegram - T 1, IT 4, TH 0, RC 7, SEX 3
"mojokerto" - T 30, IT 14, TH 0, RC 12, SEX 35
oh kamu yg bugil itu ya? - T 3, IT 27, TH 2, RC 30, SEX 0
aku jawab "oh deket... " - T 38, IT 6, TH 0, RC 5, SEX 20
bukan anjer - T 1, IT 0, TH 0, RC 30, SEX 1
ini kato ngontol amat - T 90, IT 80, TH 0, RC 0, SEX 4
man of culture banget - T 9, IT 0, TH 0, RC 3, SEX 7
mau kerja mlh maintenance - T 1, IT 2, TH 0, RC 2, SEX 1
keren kaya gweh - T 35, IT 50, TH 0, RC 22, SEX 60
  suka ntr tidak kawankuh? - T 3, IT 3, TH 0, RC 6, SEX 1
njir pekob - T 0, IT 0, TH 0, RC 1, SEX 1
 agak lupa sih itu, udah bbrp bulan yg lalu, emg collab gmn? aku masih blm mulai sih ini ytnya - T 0, IT 13, TH 0, RC 0, SEX 0
hah - T 30, IT 14, TH 0, RC 12, SEX 35
kau aja suka ntr - T 0, IT 94, TH 0, RC 3, SEX 0
kalo aku engga - T 6, IT 1, TH 0, RC 3, SEX 13
vanilla enjoyers nuub - T 30, IT 14, TH 0, RC 12, SEX 35
aku masih banyak experimen aja sih buat komunitas aku - T 0, IT 25, TH 1, RC 0, SEX 0
lagian gak nonton bokep lagi - T 0, IT 0, TH 0, RC 0, SEX 1
maen game ngabb - T 30, IT 12, TH 0, RC 6, SEX 21
ingfo fungsinya - T 30, IT 14, TH 0, RC 12, SEX 35
jadi skip - T 73, IT 6, TH 0, RC 45, SEX 63
buset - T 30, IT 14, TH 0, RC 12, SEX 35
oh ya gpp - T 2, IT 0, TH 10, RC 1, SEX 5
emg kamu asal mana? - T 23, IT 31, TH 21, RC 28, SEX 0
aku juga lagi belajar ngedit pake adobe - T 2, IT 1, TH 0, RC 0, SEX 1
infokan ke staff kalo ultah, biar dikasih role - T 89, IT 0, TH 0, RC 4, SEX 10
nganjuk - T 30, IT 14, TH 0, RC 12, SEX 35
kulone jombang - T 30, IT 14, TH 0, RC 12, SEX 35
oh iya inget aku - T 2, IT 0, TH 0, RC 1, SEX 0
etane mediun - T 30, IT 14, TH 0, RC 12, SEX 35
fungsi bday role apa? - T 25, IT 19, TH 0, RC 7, SEX 45
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
dpt duit kato kah? - T 32, IT 34, TH 0, RC 27, SEX 59
ane ultah tanggal 19 des - T 30, IT 14, TH 0, RC 12, SEX 35
sekedar apresiasi doang - T 4, IT 8, TH 0, RC 4, SEX 12
dpet loli - T 12, IT 2, TH 0, RC 4, SEX 97
oualah - T 30, IT 14, TH 0, RC 12, SEX 35
gueh rans ulang tahun sekarang - T 7, IT 10, TH 0, RC 8, SEX 17
matamu - T 15, IT 4, TH 0, RC 6, SEX 47
dpt rubah buat diewe - T 30, IT 23, TH 0, RC 0, SEX 1
role sehari, khusus yg lagi ultah.  biar bisa ditagih traktiran  - T 47, IT 0, TH 0, RC 0, SEX 1
boleh aja sih collab - T 0, IT 39, TH 1, RC 0, SEX 0
gws - T 30, IT 14, TH 0, RC 12, SEX 35
supaya dapat role aja - T 0, IT 11, TH 0, RC 4, SEX 0
cuman bbrp minggu kedepan aku lagi sibuk sih - T 0, IT 17, TH 0, RC 0, SEX 0
